"exc","inh","means","vars"
0.048,0.05,0.5543256084110679,0.16529611172529513
0.095,0.05,0.5631078140217439,6.679141979498405
0.19,0.05,0.18144895936220673,0.8965566398149489
0.143,0.05,7.198022732916855,42.03429560951206
0.049,0.05,0.4850409171885186,0.1313201717652036
0.096,0.05,2.4873776833880386,31.418431023014392
0.191,0.05,0.10073979476958685,0.7172906010978976
0.144,0.05,1.8189408803643574,14.634554309958792
0.05,0.05,0.37194366381957344,0.08964615192069322
0.097,0.05,3.599289725256727,22.28537931621337
0.192,0.05,0.11050097252346708,0.8559376209525659
0.145,0.05,5.8087491631642205,24.89953038414297
0.051,0.05,0.4631222891682855,0.13710654655806878
0.098,0.05,1.1084243604776924,9.928297773176226
0.193,0.05,0.10092206401499412,0.6531030500092078
0.146,0.05,5.49680353640756,28.190651641346207
0.052,0.05,0.7369071205719591,0.5369621536101807
0.099,0.05,1.1365759766842924,5.254018713346219
0.194,0.05,0.10364538878351312,0.692357357094724
0.147,0.05,4.924723563260253,39.27362993915021
0.053,0.05,14.070288745389986,165.68874486033238
0.1,0.05,1.10572209011577,12.711665241003283
0.195,0.05,0.10686301343097661,0.5755824146430986
0.148,0.05,5.588598874655262,27.518936351533227
0.054,0.05,13.682468718062754,115.98232750249181
0.101,0.05,0.9552234191203965,7.297146267146701
0.149,0.05,3.568393766863131,26.83053044952554
0.196,0.05,0.20159837428944877,0.8824619186613194
0.055,0.05,16.469614795143226,156.71471295824273
0.102,0.05,2.5901086255636843,6.062883898320795
0.15,0.05,2.233088266558342,8.898293707542585
0.197,0.05,0.10005925082347608,0.6992708486312278
0.056,0.05,11.882462786265545,93.15017915077924
0.103,0.05,1.6643647973561795,13.204435115307156
0.151,0.05,3.670670920339263,11.723916704425111
0.057,0.05,8.469864724402205,66.52436668754214
0.198,0.05,0.17922259541568403,0.996367449388861
0.104,0.05,1.8288655777931409,5.532755516848151
0.152,0.05,4.235756136583693,24.961859953832544
0.199,0.05,0.12794227774146444,0.8930451911497879
0.105,0.05,1.7756080209147003,3.607471114127219
0.153,0.05,3.7686457066993277,16.493256125982093
0.2,0.05,0.12096606443210303,0.5907964189366249
