"exc","inh","means","vars"
0.055,0.07,0.10728621908907811,0.0041738570951910135
0.105,0.07,1.3559914689619672,9.191369558092353
0.155,0.07,0.8986889949465063,9.174185760002183
0.01,0.075,NaN,NaN
0.06,0.075,0.12037069296236122,0.008981261353638957
0.16,0.075,0.11564218053905818,0.8120758620055819
0.11,0.075,0.6493271962183108,3.9986751511788894
0.065,0.075,0.017803530343343702,0.016319218435359443
0.015,0.075,NaN,NaN
0.115,0.075,1.0996959306151,4.894208505415182
0.165,0.075,0.08551855587303657,0.8508472325265971
0.07,0.075,12.361307984223886,63.072413160540414
0.02,0.075,NaN,NaN
0.12,0.075,1.6363379400980624,13.081796761385238
0.17,0.075,0.0921658347730874,0.7149066239155887
0.075,0.075,4.726720802881615,116.46691535031609
0.025,0.075,NaN,NaN
0.125,0.075,0.997225363917895,4.869271948006689
0.175,0.075,0.1114228493520131,0.6874243809365214
0.08,0.075,4.519940671489484,148.8069698268349
0.03,0.075,NaN,NaN
0.13,0.075,1.2539839529913086,8.034916593021904
0.18,0.075,0.2346485808056464,1.7246724285038173
0.085,0.075,4.322977368372498,54.907986619615485
0.035,0.075,NaN,NaN
0.135,0.075,1.0508426872641845,6.162580265147354
0.185,0.075,0.3362516007942067,4.6488806368071005
0.09,0.075,0.4648923613565196,7.810639882120008
0.04,0.075,NaN,NaN
0.14,0.075,1.295328990682864,13.70042808104962
0.19,0.075,0.13605332124508226,0.6659445959051448
0.045,0.075,NaN,NaN
0.095,0.075,1.323923431426404,11.958871821443072
0.145,0.075,1.6821238962279386,17.701849058891437
0.195,0.075,0.24553473302335924,1.4132304497976533
0.05,0.075,0.04464281857859708,0.0010076136673936595
0.1,0.075,0.8480776522812129,9.090899723356783
0.15,0.075,2.044825309544987,26.777121494260623
0.2,0.075,0.10330267618357668,0.6415406606349318
0.055,0.075,0.48532707258844787,0.1058714571539444
0.105,0.075,0.8566695129206278,10.698243371781759
0.155,0.075,3.403202042405169,37.327407199128515
0.01,0.08,NaN,NaN
0.06,0.08,0.2227296715529086,0.024434576434114057
0.11,0.08,0.773538624505142,2.419064525110666
0.16,0.08,0.13783186708280068,1.9749810955899196
0.065,0.08,0.18209891147598592,0.010557733409134183
0.015,0.08,NaN,NaN
0.115,0.08,1.4107681405460522,9.480005668059066
0.165,0.08,0.08620777965602298,0.8897059174360364
0.02,0.08,NaN,NaN
0.07,0.08,3.6616857468855595,28.747326792082678
0.12,0.08,1.0499727160059082,8.055528390973961
0.17,0.08,0.10488895379060434,0.6680082305046817
0.025,0.08,NaN,NaN
0.075,0.08,4.52046448936609,122.75832262125947
0.125,0.08,1.27712586852129,7.417897141382967
0.175,0.08,0.12285076926038505,0.6834896837972843
0.03,0.08,NaN,NaN
0.08,0.08,4.375318025927018,106.18642111155201
0.13,0.08,1.101138791179075,8.250855682924753
0.18,0.08,0.13863359464098268,1.1309633667967611
0.035,0.08,NaN,NaN
